Mean_time	Mean_qlow	Mean_qup	Priors
t_n1123	93.23	82.03	101.15	0
t_n1124	76.613	64.74	87.69	0
t_n1125	73.066	61.45	84.17	0
t_n1126	69.76	58.56	80.9	0
t_n1127	68.386	57.3	79.47	0
t_n1128	59.871	47.67	72.35	0
t_n1129	43.289	29.28	55.32	0
t_n1130	42.553	28.59	54.54	0
t_n1131	33.875	22.39	48.21	0
t_n1132	28.324	17.55	44.45	0
t_n1133	23.295	14.98	38.95	0
t_n1134	39.68	25.74	51.79	0
t_n1135	37.749	23.96	50.24	0
t_n1136	23.296	15.17	36.61	0
t_n1137	62.095	50.71	74.3	0
t_n1138	54.477	43.21	65.82	0
t_n1139	50.98	39.32	62.6	0
t_n1140	42.946	30.01	54.59	0
t_n1141_Nyctaginaceae	33.821	22.47	47.82	B(0.18,0.56,1e-300,1e-300)
t_n1142	24.491	16.18	38.3	0
t_n1143	40.788	26.53	52.6	0
t_n1144	30.487	16.4	50.92	0
t_n1145	59.177	42.6	76.01	0
t_n1146	53.197	34.48	71.02	0
t_n1147_Amaranthaceae	16.401	13.32	20.78	B(0.13,0.25,1e-300,1e-300)
t_n1148	15.07	11.36	19.53	0
t_n1149	64	41.35	84.79	0
t_n1150	100.845	92	108.3	0
t_n1151	95.713	85.21	103.78	0
t_n1152	76.41	61.67	89.48	0
t_n1153_Polygonaceae	44.495	35.44	56.18	B(0.35,0.57,1e-300,1e-300)
t_n1154	31.216	17.96	48.81	0
t_n1155	50.714	30.56	68.26	0
t_n1156	50.62	27.77	71.22	0
t_n1157	81.707	63.85	96.92	0
t_n1158	64.574	46.99	83	0
t_n1159	50.666	31.98	69.26	0
t_n1160	17.426	3.2	32.02	0
t_n1161	73.416	53.13	90.97	0
t_n1162	48.794	16.99	109.52	0
t_n1163_Santalales	106.249	91.1	114.59	B(0.73,1.15,1e-300,1e-300)
t_n1164	98.207	80.92	109.77	0
t_n1165	79.859	61.16	97.4	0
t_n1166	68.383	48.22	88.91	0
t_n1167	61.874	42.87	82.45	0
t_n1168	56.7	34.3	80.14	0
t_n1169	47.448	24.73	69.85	0
t_n1170	95.094	56.24	118.63	0
t_n1171_Buxaceae	45.937	31.9	52.77	B(0.3,0.53,1e-300,1e-300)
t_n1172	39.447	23.86	49.79	0
t_n1173	12.654	3.44	24.9	0
t_n1174_Proteales	120.539	115.5	123.89	B(1.15,1.24,1e-300,1e-300)
t_n1175	99.41	77.67	116.85	0
t_n1176_Proteaceae	73.074	65.27	81.6	B(0.65,0.82,1e-300,1e-300)
t_n1177	32.032	17.48	53.31	0
t_n1178	76.869	43.31	105.51	0
t_n1179_Ranunculales	128.251	124.62	132.79	B(1.15,1.56,1e-300,1e-300)
t_n1180	126.726	123.25	131.2	0
t_n1181	122.468	119.85	126.23	0
t_n1182_Menispermaceae	100.565	92.8	106.72	B(0.92,1.07,1e-300,1e-300)
t_n1183_Ranunculaceae	88.562	71.33	100.32	B(0.65,1.05,1e-300,1e-300)
t_n1184	70.189	50.84	88.83	0
t_n1185	61.348	42.12	81.44	0
t_n1186_Berberidaceae	56.485	48.37	65.35	B(0.48,0.66,1e-300,1e-300)
t_n1187	54.356	27.41	79.72	0
